N,N_over_sample_expression,T,checker_absolute_difference,condition_number,d,error_over_sigma2_dk_over_NT,eta1,eta2,exact_rip_delta,factor,factor_value,final_parameter_error,final_relative_squared_error,first_hit_iteration,independent_final_error,initial_parameter_error,initial_relative_squared_error,k,permuted_task_control,route,sample_expression_without_hidden_constant,seed,sigma,sigma2_dk_over_NT,sigma_1_M_star,sigma_k_M_star,truth_factor_balance_residual
800,9.469696969696965,16,1.734723475976807e-18,1.0000000000000007,512,1.1282032607654622,0.04999999999999998,0.19999999999999993,0.0,T,16,0.007220500868898959,0.028882003475595823,134,0.0072205008688989575,0.2499996571090509,0.999998628436203,4,False,rate,84.48000000000003,8301,0.2,0.006400000000000001,1.0000000000000004,0.9999999999999999,1.3148174720347448e-15
800,9.46969696969696,16,0.0,1.0000000000000004,512,0.9993467460695405,0.05,0.2,0.0,T,16,0.006395819174845061,0.02558327669938024,140,0.006395819174845061,0.2500010012211674,1.0000040048846697,4,False,rate,84.48000000000009,8302,0.2,0.006400000000000001,1.0,0.9999999999999996,1.5680990957105855e-15
800,9.469696969696967,16,8.673617379884035e-19,1.0000000000000004,512,1.059418923224153,0.04999999999999998,0.19999999999999993,0.0,T,16,0.0067802811086345805,0.027121124434538325,155,0.00678028110863458,0.2499994052204349,0.9999976208817398,4,False,rate,84.48000000000002,8303,0.2,0.006400000000000001,1.0000000000000004,1.0,4.583957856030948e-16
800,9.469696969696962,16,8.673617379884035e-19,1.0,512,1.0232031519541747,0.05000000000000002,0.20000000000000007,0.0,T,16,0.0065485001725067195,0.026194000690026868,147,0.00654850017250672,0.2500005701218679,1.0000022804874706,4,False,rate,84.48000000000008,8304,0.2,0.006400000000000001,0.9999999999999997,0.9999999999999997,8.504286314716132e-16
800,9.469696969696964,16,1.734723475976807e-18,1.0000000000000004,512,1.0166740934602834,0.04999999999999999,0.19999999999999996,0.0,T,16,0.006506714198145815,0.02602685679258327,147,0.006506714198145813,0.24999838484670678,0.999993539386827,4,False,rate,84.48000000000006,8305,0.2,0.006400000000000001,1.0000000000000002,0.9999999999999998,8.886690925236002e-16
800,9.469696969696964,16,0.0,1.0000000000000007,512,0.9913987145574111,0.04999999999999998,0.19999999999999993,0.0,T,16,0.006344951773167433,0.025379807092669737,178,0.006344951773167433,0.25000004867008535,1.0000001946803414,4,False,rate,84.48000000000006,8306,0.2,0.006400000000000001,1.0000000000000004,0.9999999999999998,8.490949317995727e-16
800,9.191176470588234,32,0.0,1.0000000000000004,512,1.0675762516712073,0.04999999999999998,0.19999999999999993,0.0,T,32,0.0034162440053478642,0.02732995204278291,145,0.0034162440053478642,0.12500004294134084,1.0000003435307268,4,False,rate,87.04000000000002,8301,0.2,0.0032000000000000006,1.0000000000000004,1.0,1.2535519067623848e-15
800,9.191176470588225,32,8.673617379884035e-19,1.0000000000000004,512,1.0541729660485608,0.05,0.2,0.0,T,32,0.0033733534913553955,0.026986827930843175,201,0.0033733534913553964,0.12499979622473653,0.9999983697978925,4,False,rate,87.04000000000009,8302,0.2,0.0032000000000000006,1.0,0.9999999999999996,1.5196620065764036e-15
800,9.191176470588228,32,0.0,1.0000000000000004,512,1.071047615879195,0.04999999999999999,0.19999999999999996,0.0,T,32,0.0034273523708134245,0.027418818966507396,144,0.0034273523708134245,0.12499970665899468,0.9999976532719571,4,False,rate,87.04000000000006,8303,0.2,0.0032000000000000006,1.0000000000000002,0.9999999999999998,8.429010697173858e-16
800,9.191176470588227,32,8.673617379884035e-19,1.0000000000000009,512,0.9903086356134864,0.04999999999999998,0.19999999999999993,0.0,T,32,0.003168987633963157,0.02535190107170526,142,0.003168987633963158,0.12499953927980137,0.9999963142384114,4,False,rate,87.04000000000008,8304,0.2,0.0032000000000000006,1.0000000000000004,0.9999999999999997,8.170230940911263e-16
800,9.191176470588227,32,8.673617379884035e-19,1.0000000000000009,512,1.0184904747159373,0.04999999999999998,0.19999999999999993,0.0,T,32,0.0032591695190910003,0.026073356152728006,168,0.003259169519091001,0.12500000414673917,1.0000000331739138,4,False,rate,87.04000000000008,8305,0.2,0.0032000000000000006,1.0000000000000004,0.9999999999999997,8.160121489981391e-16
800,9.191176470588227,32,4.336808689942018e-19,1.0000000000000004,512,1.0466408355105448,0.05,0.2,0.0,T,32,0.0033492506736337436,0.026794005389069956,153,0.003349250673633744,0.12500056625554998,1.0000045300443998,4,False,rate,87.04000000000008,8306,0.2,0.0032000000000000006,1.0,0.9999999999999997,9.940318300312657e-16
